frame_index,stamp_sec,stamp_nsec,base_link_x,base_link_y,base_link_yaw,base_link_op_x,base_link_op_y,base_link_op_yaw
80,11293,726000000,-0.117951,-7.579064,-0.010960,-4.657415,-1.276389,-1.569208
81,11293,826000000,-0.018014,-7.580130,-0.010965,-4.645369,-1.369996,-1.566295
82,11293,926000000,0.081448,-7.588673,-0.016377,-4.645283,-1.469994,-1.571817
83,11294,26000000,0.181382,-7.590297,-0.016378,-4.645942,-1.569991,-1.578764
84,11294,126000000,0.281317,-7.591925,-0.016377,-4.659691,-1.653399,-1.588818
85,11294,227000000,0.376012,-7.594767,-0.019077,-4.661462,-1.753382,-1.580759
86,11294,326000000,0.475949,-7.596670,-0.019079,-4.661767,-1.853379,-1.565522
87,11294,427000000,0.575889,-7.598575,-0.019127,-4.673846,-1.949063,-1.562945
88,11294,526000000,0.675666,-7.600472,-0.019127,-4.672223,-2.049044,-1.552321
89,11294,626000000,0.762541,-7.586638,-0.012732,-4.669319,-2.149006,-1.540921
90,11294,726000000,0.862489,-7.587909,-0.012727,-4.669158,-2.229761,-1.532595
91,11294,826000000,0.975993,-7.602349,-0.018094,-4.664833,-2.329673,-1.530700
92,11294,926000000,1.076023,-7.604164,-0.018094,-4.660656,-2.429592,-1.530532
93,11295,26000000,1.176028,-7.605976,-0.018128,-4.649267,-2.532870,-1.529262
94,11295,126000000,1.267094,-7.609482,-0.020621,-4.645063,-2.632784,-1.531199
95,11295,227000000,1.367067,-7.611545,-0.020629,-4.641196,-2.732710,-1.534014
96,11295,326000000,1.467034,-7.613607,-0.020630,-4.636289,-2.826182,-1.534233
97,11295,426000000,1.566999,-7.615669,-0.020628,-4.632590,-2.926113,-1.533492
98,11295,527000000,1.661696,-7.617589,-0.020918,-4.628806,-3.026041,-1.532018
99,11295,626000000,1.761659,-7.619680,-0.020951,-4.616164,-3.115389,-1.521982
100,11295,726000000,1.862761,-7.625183,-0.023915,-4.611265,-3.215268,-1.524768
101,11295,827000000,1.962717,-7.627573,-0.023906,-4.607017,-3.315177,-1.531655
102,11295,927000000,2.062674,-7.629963,-0.023919,-4.598453,-3.416836,-1.530027
103,11296,26000000,2.155217,-7.641166,-0.028822,-4.594536,-3.516759,-1.532068
