frame_index,stamp_sec,stamp_nsec,global_x,global_y,yaw
10,11425,403000000,1.835732,1.688684,0.323972
11,11425,503000000,1.920421,1.716086,0.322295
12,11425,603000000,2.013752,1.714044,0.301737
13,11425,703000000,2.106425,1.741655,0.297999
14,11425,803000000,2.202762,1.770972,0.299265
15,11425,904000000,2.301632,1.789537,0.294132
16,11426,3000000,2.397401,1.818163,0.295328
17,11426,103000000,2.483234,1.843300,0.304303
18,11426,203000000,2.568071,1.863316,0.321679
19,11426,303000000,2.663220,1.893200,0.344359
20,11426,403000000,2.757312,1.926228,0.363390
21,11426,503000000,2.841510,1.940466,0.395992
22,11426,603000000,3.016769,2.012535,0.494341
23,11426,703000000,3.083632,2.045531,0.562339
24,11426,803000000,3.129251,2.085193,0.628762
25,11426,903000000,3.207896,2.142378,0.657503
26,11427,3000000,3.285321,2.199279,0.693902
27,11427,103000000,3.360634,2.251854,0.779063
28,11427,203000000,3.409720,2.298966,0.828982
29,11427,303000000,3.475047,2.369887,0.860123
30,11427,403000000,3.522593,2.451380,0.900646
31,11427,503000000,3.587026,2.528366,0.954922
32,11427,603000000,3.646064,2.610473,0.995193
33,11427,703000000,3.693885,2.670044,1.028648
34,11427,803000000,3.746828,2.756762,1.065828
35,11427,903000000,3.795099,2.846135,1.079070
36,11428,3000000,3.843502,2.935324,1.101715
37,11428,103000000,3.872521,3.032247,1.118292
38,11428,203000000,3.917076,3.123040,1.134771
39,11428,303000000,3.955255,3.205538,1.144959
40,11428,403000000,3.997945,3.296865,1.168513
41,11428,503000000,4.017050,3.387667,1.187761
42,11428,603000000,4.055151,3.480698,1.204262
43,11428,703000000,4.091057,3.574483,1.214735
44,11428,803000000,4.110287,3.671680,1.243729
45,11428,903000000,4.142205,3.766721,1.253288
46,11429,3000000,4.171649,3.851899,1.275837
47,11429,103000000,4.194996,3.939957,1.330790
48,11429,203000000,4.218791,4.036851,1.367518
49,11429,303000000,4.241673,4.134648,1.413317
50,11429,403000000,4.249744,4.228829,1.448369
51,11429,503000000,4.262853,4.318088,1.490640
52,11429,603000000,4.271776,4.417924,1.529770
53,11429,703000000,4.280948,4.508335,1.581112
54,11429,803000000,4.281854,4.583216,1.639258
55,11429,903000000,4.279578,4.653602,1.708382
56,11430,3000000,4.278866,4.718842,1.761951
57,11430,103000000,4.263612,4.809829,1.808322
58,11430,203000000,4.247338,4.878126,1.852907
59,11430,303000000,4.214657,4.973973,1.907787
60,11430,403000000,4.194798,5.034347,1.958559
61,11430,503000000,4.161062,5.123534,2.006161
62,11430,603000000,4.110835,5.185149,2.067651
63,11430,703000000,4.062572,5.275957,2.107029
64,11430,803000000,4.014482,5.359790,2.148417
65,11430,903000000,3.959268,5.439255,2.180211
66,11431,3000000,3.902999,5.523248,2.229326
67,11431,105000000,3.842252,5.605062,2.273501
68,11431,204000000,3.779075,5.685709,2.347170
69,11431,304000000,3.740810,5.726046,2.394719
70,11431,404000000,3.669595,5.792773,2.427055
71,11431,504000000,3.594676,5.857925,2.446883
72,11431,604000000,3.519346,5.924364,2.500022
73,11431,705000000,3.443411,5.966414,2.555309
74,11431,804000000,3.363713,6.021747,2.599404
75,11431,904000000,3.279222,6.073200,2.633072
76,11432,4000000,3.192144,6.122577,2.660815
77,11432,104000000,3.091489,6.147267,2.701824
78,11432,204000000,2.999977,6.190083,2.718378
79,11432,304000000,2.907524,6.231182,2.731045
80,11432,404000000,2.815013,6.272211,2.749866
81,11432,504000000,2.713694,6.304072,2.790027
82,11432,604000000,2.619047,6.339878,2.820723
