frame_index,stamp_sec,stamp_nsec,base_link_x,base_link_y,base_link_yaw,base_link_op_x,base_link_op_y,base_link_op_yaw
10,11425,403000000,0.920286,-1.684419,2.323881,1.949489,1.726884,0.323972
11,11425,503000000,0.920286,-1.684419,2.323888,2.034242,1.754095,0.322295
12,11425,603000000,0.920286,-1.684419,2.323881,2.128330,1.749705,0.301737
13,11425,703000000,0.920286,-1.684419,2.323884,2.221137,1.776888,0.297999
14,11425,803000000,0.920286,-1.684419,2.323887,2.317428,1.806350,0.299265
15,11425,904000000,0.920286,-1.684419,2.323887,2.416479,1.824326,0.294132
16,11426,3000000,0.920286,-1.684419,2.323888,2.512206,1.853089,0.295328
17,11426,103000000,0.920286,-1.684419,2.323887,2.597721,1.879255,0.304303
18,11426,203000000,0.920286,-1.684419,2.323890,2.681916,1.901255,0.321679
19,11426,303000000,0.920286,-1.684419,2.323893,2.776175,1.933711,0.344359
20,11426,403000000,0.920286,-1.684419,2.323893,2.869476,1.968881,0.363390
21,11426,503000000,0.920286,-1.684419,2.323906,2.952224,1.986753,0.395992
22,11426,603000000,0.920286,-1.684419,2.299103,3.122403,2.069469,0.494341
23,11426,703000000,0.863348,-1.620966,2.273111,3.185153,2.109511,0.562339
24,11426,803000000,0.776061,-1.519361,2.273111,3.226302,2.155770,0.628762
25,11426,903000000,0.700715,-1.430123,2.273112,3.302878,2.215715,0.657503
26,11427,3000000,0.636032,-1.353457,2.273075,3.377572,2.276024,0.693902
27,11427,103000000,0.566992,-1.271636,2.273074,3.446022,2.336167,0.779063
28,11427,203000000,0.502340,-1.195039,2.273078,3.490795,2.387435,0.828982
29,11427,303000000,0.431336,-1.110976,2.273075,3.553329,2.460838,0.860123
30,11427,403000000,0.360725,-1.027274,2.263692,3.597125,2.545427,0.900646
31,11427,503000000,0.295479,-0.940694,2.146928,3.656346,2.626318,0.954922
32,11427,603000000,0.245369,-0.845748,1.984732,3.711385,2.711137,0.995193
33,11427,703000000,0.217153,-0.754465,1.821051,3.755802,2.772836,1.028648
34,11427,803000000,0.205433,-0.649070,1.648560,3.804882,2.861785,1.065828
35,11427,903000000,0.199331,-0.558908,1.660813,3.851757,2.951918,1.079070
36,11428,3000000,0.193897,-0.455315,1.660835,3.897750,3.042362,1.101715
37,11428,103000000,0.187194,-0.352829,1.660838,3.924987,3.140170,1.118292
38,11428,203000000,0.179684,-0.251147,1.660838,3.967757,3.231813,1.134771
39,11428,303000000,0.176834,-0.174173,1.666197,4.004825,3.314821,1.144959
40,11428,403000000,0.167966,-0.073766,1.666196,4.044927,3.407285,1.168513
41,11428,503000000,0.158905,0.026139,1.666194,4.061898,3.498971,1.187761
