cx,cy,ix,iy,ox,oy
0.17764281291760184,0.17884587382276484,,,,
0.188291635416779,-0.0690424196965776,,,,
0.20326692513277866,-0.29537469880346723,,,,
0.22251666341636447,-0.5044745753098749,,,,
0.24598883161830037,-0.7006656610277711,,,,
0.2736314110893499,-0.8882715677691261,,,,
0.30539238318027684,-1.0716159073459108,,,,
0.3412197292418452,-1.2550222915700955,,,,
0.3810614306248185,-1.4428143322536515,,,,
0.42499078111999994,-1.6381768888723331,,,,
0.47365679601965943,-1.8390630641457708,,,,
0.5278737245587314,-2.041924429595477,,,,
0.5884558301325239,-2.2432124280633294,,,,
0.6562173761363453,-2.4393785023912087,,,,
0.7319726259655039,-2.6268740954209946,,,,
0.8165358430153077,-2.802150649994566,,,,
0.9107212906810653,-2.9616596089538043,,,,
1.017532379120772,-3.0994785826971873,,,,
1.151557806188957,-3.197122512233834,,,,
1.3241644433701298,-3.2412817648315335,,,,
1.5194778517885115,-3.2546945283693174,,,,
1.7188144376033356,-3.2636750658582514,,,,
1.918615465806046,-3.273958763105392,,,,
2.1191044972874638,-3.28613481554829,,,,
2.3205050929384132,-3.300792418624486,,,,
2.5228512442250275,-3.3185294219670767,,,,
2.7253654661154165,-3.339980720615129,,,,
2.9270531847660886,-3.3657911201142783,,,,
3.126919823991506,-3.396605426117077,,,,
3.3239708076061305,-3.4330684442760755,,,,
3.5172115594244278,-3.475824980243828,,,,
3.7056475032608596,-3.5255198396728824,,,,
3.8873829952251557,-3.5838081090980696,,,,
4.056147828041897,-3.6572496538328405,,,,
4.204346118207031,-3.753890692927282,,,,
4.324381688235556,-3.8817777750441262,,,,
4.410811126605866,-4.046187139621166,,,,
4.468503622856994,-4.239124148380088,,,,
4.505412744923799,-4.448624998689129,,,,
4.5294926200352,-4.66272516818316,,,,
4.547594821656542,-4.871198734817959,,,,
4.560891045095411,-5.072776290339291,,,,
4.568729192033687,-5.269064339022245,,,,
4.570456314103754,-5.46167072557207,,,,
4.565419462938,-5.652203294694007,,,,
4.552965690168813,-5.842269891093299,,,,
4.53244204742858,-6.033478359475193,,,,
4.5031955863496895,-6.22743654454493,,,,
4.464537183916681,-6.425192266302164,,,,
4.415563631859146,-6.6244790614289695,,,,
4.355293255816013,-6.821815722250856,,,,
4.282744262874152,-7.013719205772593,,,,
4.19693486012043,-7.196706468998949,,,,
4.09688325464172,-7.367294468934695,,,,
3.981607653524893,-7.522000162584602,,,,
3.8501262638568163,-7.657340506953437,,,,
3.701797515889562,-7.770436787333692,,,,
3.538252469866748,-7.862447094067871,,,,
3.362053296973077,-7.936183422165355,,,,
3.175764980545948,-7.9944627617787045,,,,
2.981952503922758,-8.040102103060475,,,,
2.783180850440901,-8.075918436163219,,,,
2.5820150034377756,-8.1047287512395,,,,
2.38080335896629,-8.12912858069004,,,,
2.1802440409653383,-8.150026074606206,,,,
1.9802756697745625,-8.167552800280452,,,,
1.7808328366891788,-8.18183620535839,,,,
1.581850133004403,-8.193003737485645,,,,
1.3832621500154512,-8.20118284430783,,,,
1.1850034790175406,-8.206500973470565,,,,
0.9870087113058839,-8.209085572619468,,,,
0.7892124381756984,-8.209064089400158,,,,
0.5915492509222,-8.206563971458252,,,,
0.3939537408406049,-8.201712666439363,,,,
0.19636049922612847,-8.194637621989115,,,,
-0.0012958826260132117,-8.185466285753126,,,,
-0.19908081342060402,-8.174326105377009,,,,
-0.39705970186242845,-8.161344528506385,,,,
-0.595297956656269,-8.146649002786877,,,,
-0.7938449929056843,-8.130341810310448,,,,
-0.9925819179640856,-8.112260404900935,,,,
-1.1912890730351484,-8.092083687226394,,,,
-1.3897454386606303,-8.069488416985537,,,,
-1.5877299953822903,-8.044151353877053,,,,
-1.7850217237418964,-8.01574925759964,,,,
-1.981399604281206,-7.983958887852001,,,,
-2.1766426175419795,-7.948457004332829,,,,
-2.370552182420302,-7.9089306854524715,,,,
-2.563210421970025,-7.865196096862737,,,,
-2.754890457115382,-7.817157238283899,,,,
-2.945869067862064,-7.764719792135683,,,,
-3.136423034215757,-7.707789440837812,,,,
-3.3268291361821514,-7.646271866810007,,,,
-3.517364153766936,-7.580072752471994,,,,
-3.7078962214216884,-7.508852475582985,,,,
-3.892302319323152,-7.4286750011902996,,,,
-4.059909731246842,-7.332873170216929,,,,
-4.199932249910427,-7.21471169636623,,,,
-4.302315961026873,-7.067985307835924,,,,
-4.368241806286863,-6.8946202273874615,,,,
-4.407683546555122,-6.702906690054035,,,,
-4.430849613353189,-6.501304779345222,,,,
-4.447641699488484,-6.29800170305668,,,,
-4.462779596425407,-6.096574833435781,,,,
-4.4766676841349105,-5.8967625392462075,,,,
-4.489578722753039,-5.698186099837216,,,,
-4.501785472415837,-5.500466794558072,,,,
-4.513560693259351,-5.303225902758037,,,,
-4.525177145419627,-5.106084703786372,,,,
-4.536897938423431,-4.90867495620495,,,,
-4.5487909840079315,-4.710840376088253,,,,
-4.560742801010372,-4.512621646842991,,,,
-4.572633023293877,-4.3140669279953086,,,,
-4.584341284721573,-4.115224379071352,,,,
-4.595747219156585,-3.9161421595972636,,,,
-4.606730460462036,-3.716868429099188,,,,
-4.617170642501056,-3.5174513471032705,,,,
-4.626947399136766,-3.3179390731356557,,,,
-4.635940364232291,-3.1183797667224877,,,,
-4.644029171650762,-2.9188215873899153,,,,
-4.651093455255298,-2.719312694664074,,,,
-4.657012848909026,-2.5199012480711134,,,,
-4.661666986475074,-2.3206354071371798,,,,
-4.664935501816565,-2.1215633313884146,,,,
-4.66670297824852,-1.9227318385662533,,,,
-4.667009229108262,-1.7241456639200183,,,,
-4.6660765114094245,-1.5257600826496407,,,,
-4.6641375189063945,-1.3275275405793034,,,,
-4.6614249453535646,-1.1294004835331897,,,,
-4.658171484505322,-0.9313313573354827,,,,
-4.654609830116058,-0.7332726078103655,,,,
-4.650972675940158,-0.5351766807820211,,,,
-4.647492715732017,-0.33699602207463264,,,,
-4.64440264324602,-0.1386830775123833,,,,
-4.641935152236561,0.05980970708054373,,,,
-4.640322936458027,0.25852988587996545,,,,
-4.639798689664804,0.4575250130616989,,,,
-4.640595105611287,0.6568426428015606,,,,
-4.642944878051862,0.8565303292753643,,,,
-4.64708070074092,1.0566356266589338,,,,
-4.653227424778037,1.2572033142541827,,,,
-4.661168089082138,1.4581218501787312,,,,
-4.670016960883039,1.6590430689643287,,,,
-4.678832613057975,1.8595990994679243,,,,
-4.686673618484182,2.059422070546469,,,,
-4.692598550038896,2.2581441110569127,,,,
-4.69566598059935,2.455397349856206,,,,
-4.69493448304278,2.650813915801298,,,,
-4.689469677500114,2.844032411820001,,,,
-4.678905419212117,3.0352134589947157,,,,
-4.66385200187517,3.225414699010481,,,,
-4.645015985410072,3.415782210039191,,,,
-4.623103929737628,3.6074620702527405,,,,
-4.598822394778642,3.8016003578230264,,,,
-4.572877940453915,3.999343150921944,,,,
-4.545967613170718,4.201823651577052,,,,
-4.5176984086566385,4.40869972362057,,,,
