frame_index,stamp_sec,stamp_nsec,global_x,global_y
159,1134,913000000,0.721670,0.929615
160,1135,13000000,0.772996,0.981053
161,1135,113000000,0.841822,1.048606
162,1135,213000000,0.912140,1.100407
163,1135,313000000,0.987988,1.167211
164,1135,413000000,1.065567,1.233412
165,1135,513000000,1.133764,1.304179
166,1135,613000000,1.214787,1.366927
167,1135,713000000,1.298593,1.425768
168,1135,813000000,1.384616,1.480983
169,1135,913000000,1.478328,1.524834
170,1136,13000000,1.568329,1.572327
171,1136,113000000,1.659926,1.616122
172,1136,213000000,1.752229,1.657804
173,1136,313000000,1.845786,1.696063
174,1136,413000000,1.947137,1.724701
175,1136,513000000,2.042932,1.755870
176,1136,613000000,2.138931,1.785877
177,1136,713000000,2.242292,1.790577
178,1136,813000000,2.339010,1.817288
179,1136,913000000,2.435913,1.842973
180,1137,13000000,2.532476,1.869588
181,1137,113000000,2.630932,1.884204
182,1137,213000000,2.726466,1.913909
183,1137,313000000,2.821239,1.945855
184,1137,413000000,2.918001,1.991272
185,1137,513000000,3.008788,2.033303
186,1137,613000000,3.093632,2.078678
187,1137,713000000,3.179931,2.129395
188,1137,813000000,3.246949,2.179783
189,1137,913000000,3.327637,2.227556
190,1138,13000000,3.378819,2.277676
191,1138,113000000,3.446137,2.344637
192,1138,213000000,3.491970,2.399186
193,1138,313000000,3.548870,2.478099
194,1138,413000000,3.606682,2.557128
195,1138,513000000,3.668268,2.628111
196,1138,613000000,3.722720,2.712877
197,1138,713000000,3.775150,2.799560
198,1138,813000000,3.823809,2.888739
199,1138,913000000,3.851943,2.980107
200,1139,13000000,3.894918,3.072162
201,1139,113000000,3.937392,3.164272
202,1139,213000000,3.958592,3.270725
203,1139,313000000,3.997613,3.363973
204,1139,413000000,4.034874,3.457762
205,1139,513000000,4.072169,3.551359
206,1139,613000000,4.093363,3.645549
207,1139,713000000,4.127807,3.739959
208,1139,813000000,4.159466,3.835249
209,1139,913000000,4.169578,3.931570
210,1140,13000000,4.196259,4.028279
211,1140,113000000,4.220776,4.125488
212,1140,213000000,4.241135,4.223605
213,1140,313000000,4.245821,4.301295
214,1140,413000000,4.256317,4.396480
215,1140,513000000,4.245139,4.498035
216,1140,613000000,4.245456,4.596994
217,1140,713000000,4.240168,4.670234
218,1140,813000000,4.231515,4.754813
219,1140,913000000,4.220036,4.825802
220,1141,13000000,4.203026,4.919546
221,1141,113000000,4.175956,4.990797
222,1141,213000000,4.149310,5.082323
223,1141,313000000,4.122688,5.149447
224,1141,413000000,4.085920,5.237818
225,1141,513000000,4.036844,5.300245
226,1141,613000000,3.990789,5.384608
227,1141,713000000,3.939479,5.473917
228,1141,813000000,3.883138,5.557438
229,1141,913000000,3.835498,5.616302
230,1142,13000000,3.786532,5.669088
231,1142,113000000,3.720206,5.737976
232,1142,213000000,3.640474,5.800767
233,1142,313000000,3.566478,5.868699
234,1142,413000000,3.490009,5.935381
235,1142,513000000,3.410628,5.999376
236,1142,613000000,3.353075,6.040598
237,1142,713000000,3.270482,6.093097
238,1142,813000000,3.175026,6.145782
239,1142,913000000,3.084718,6.190705
240,1143,13000000,2.990312,6.228112
241,1143,113000000,2.897241,6.268790
242,1143,213000000,2.803105,6.306970
243,1143,313000000,2.708292,6.343194
244,1143,413000000,2.601967,6.385125
245,1143,513000000,2.505484,6.415684
246,1143,613000000,2.407958,6.442184
247,1143,713000000,2.309885,6.465930
248,1143,813000000,2.224025,6.503577
249,1143,913000000,2.125249,6.522176
250,1144,13000000,2.015581,6.532372
251,1144,113000000,1.915843,6.544575
252,1144,213000000,1.815959,6.554489
253,1144,313000000,1.699022,6.560726
254,1144,413000000,1.599155,6.568727
255,1144,513000000,1.499179,6.574379
256,1144,613000000,1.391402,6.568108
257,1144,713000000,1.291387,6.570670
258,1144,813000000,1.181313,6.573284
259,1144,913000000,1.081352,6.575457
260,1145,13000000,0.971069,6.561124
261,1145,113000000,0.871120,6.562022
262,1145,213000000,0.766243,6.563518
263,1145,313000000,0.666307,6.564453
264,1145,413000000,0.566368,6.564670
265,1145,513000000,0.448691,6.556420
266,1145,613000000,0.348773,6.554335
267,1145,713000000,0.248871,6.551500
268,1145,813000000,0.146248,6.532544
269,1145,913000000,0.046411,6.527904
270,1146,13000000,-0.053442,6.523612
271,1146,113000000,-0.160420,6.511840
272,1146,213000000,-0.260299,6.508123
273,1146,313000000,-0.360160,6.503897
274,1146,413000000,-0.458584,6.517304
275,1146,513000000,-0.558411,6.512241
276,1146,613000000,-0.658142,6.505434
277,1146,713000000,-0.757736,6.496742
278,1146,813000000,-0.850512,6.493789
279,1146,913000000,-0.949969,6.483560
280,1147,13000000,-1.049370,6.475762
281,1147,113000000,-1.148691,6.464273
282,1147,213000000,-1.247949,6.452242
283,1147,313000000,-1.336511,6.441358
284,1147,413000000,-1.435726,6.428998
285,1147,513000000,-1.534894,6.416267
286,1147,613000000,-1.609874,6.406554
287,1147,713000000,-1.708855,6.392426
288,1147,813000000,-1.807803,6.378066
289,1147,913000000,-1.908306,6.354149
290,1148,13000000,-2.007115,6.338854
291,1148,113000000,-2.105889,6.323335
292,1148,213000000,-2.196926,6.317952
293,1148,313000000,-2.295685,6.302330
294,1148,413000000,-2.394248,6.285503
295,1148,513000000,-2.469991,6.278666
296,1148,613000000,-2.567894,6.258278
297,1148,713000000,-2.665279,6.235497
298,1148,813000000,-2.761741,6.205551
299,1148,913000000,-2.867473,6.175066
300,1149,13000000,-2.963088,6.145656
301,1149,113000000,-3.058869,6.120249
302,1149,213000000,-3.151902,6.083322
303,1149,313000000,-3.243384,6.042627
304,1149,413000000,-3.323028,5.988813
305,1149,513000000,-3.410309,5.939592
306,1149,613000000,-3.494501,5.885173
307,1149,713000000,-3.526303,5.837781
308,1149,813000000,-3.600012,5.776033
309,1149,913000000,-3.650746,5.725357
310,1150,13000000,-3.718601,5.658899
311,1150,113000000,-3.781008,5.591261
312,1150,213000000,-3.848295,5.518371
313,1150,313000000,-3.907479,5.432402
314,1150,413000000,-3.949548,5.370897
315,1150,513000000,-3.985292,5.309893
316,1150,613000000,-4.032255,5.227561
317,1150,713000000,-4.080341,5.149313
318,1150,813000000,-4.125749,5.060544
319,1150,913000000,-4.169072,4.969519
320,1151,13000000,-4.209286,4.872518
321,1151,113000000,-4.241669,4.762804
322,1151,213000000,-4.275060,4.667488
323,1151,313000000,-4.307553,4.571627
324,1151,413000000,-4.338838,4.475363
325,1151,513000000,-4.368656,4.370209
326,1151,613000000,-4.396263,4.273022
327,1151,713000000,-4.421052,4.175218
328,1151,813000000,-4.440116,4.072418
329,1151,913000000,-4.461677,3.974131
330,1152,13000000,-4.482581,3.875828
331,1152,113000000,-4.489260,3.766433
332,1152,213000000,-4.507539,3.667796
333,1152,313000000,-4.525032,3.569090
334,1152,413000000,-4.542044,3.470363
335,1152,513000000,-4.564829,3.367265
336,1152,613000000,-4.578770,3.268138
337,1152,713000000,-4.587354,3.164076
338,1152,813000000,-4.597396,3.064520
339,1152,913000000,-4.606112,2.964857
340,1153,13000000,-4.620181,2.868006
341,1153,113000000,-4.626864,2.768213
342,1153,213000000,-4.632272,2.668351
343,1153,313000000,-4.644212,2.572097
344,1153,413000000,-4.648096,2.472174
345,1153,513000000,-4.650182,2.372195
346,1153,613000000,-4.647747,2.256782
347,1153,713000000,-4.647703,2.156789
348,1153,813000000,-4.647539,2.056803
349,1153,913000000,-4.647050,1.962728
350,1154,13000000,-4.646893,1.862751
351,1154,113000000,-4.646482,1.762777
352,1154,213000000,-4.651182,1.653396
353,1154,313000000,-4.650725,1.553422
354,1154,413000000,-4.649823,1.443429
355,1154,513000000,-4.647825,1.344467
356,1154,613000000,-4.646470,1.244500
357,1154,713000000,-4.645523,1.144528
358,1154,813000000,-4.636959,1.042851
359,1154,913000000,-4.636061,0.942876
360,1155,14000000,-4.636136,0.842896
361,1155,114000000,-4.642204,0.742410
362,1155,214000000,-4.643228,0.642432
363,1155,314000000,-4.644105,0.542451
364,1155,414000000,-4.651335,0.441842
365,1155,514000000,-4.652309,0.341861
