frame_index,stamp_sec,stamp_nsec,global_x,global_y
0,265,81000000,-2.424401,-7.772032
1,265,180000000,-2.327491,-7.798116
2,265,280000000,-2.230150,-7.822046
3,265,380000000,-2.131853,-7.848246
4,265,480000000,-2.034512,-7.871495
5,265,580000000,-1.937246,-7.894885
6,265,680000000,-1.843725,-7.920049
7,265,780000000,-1.745791,-7.940207
8,265,880000000,-1.647683,-7.959419
9,265,979000000,-1.544906,-7.977717
10,266,79000000,-1.446271,-7.993927
11,266,180000000,-1.347468,-8.009012
12,266,280000000,-1.254416,-8.024243
13,266,380000000,-1.155566,-8.038987
14,266,480000000,-1.056644,-8.053270
15,266,580000000,-0.963852,-8.072743
16,266,681000000,-0.864673,-8.085149
17,266,781000000,-0.765370,-8.096555
18,266,881000000,-0.673531,-8.114445
19,266,981000000,-0.574050,-8.124222
20,267,80000000,-0.474493,-8.133250
21,267,181000000,-0.375921,-8.146820
22,267,281000000,-0.276224,-8.154194
23,267,381000000,-0.176466,-8.160741
24,267,481000000,-0.075462,-8.162813
25,267,581000000,0.024453,-8.166251
26,267,681000000,0.124391,-8.168931
27,267,781000000,0.228783,-8.180954
28,267,881000000,0.328659,-8.185374
29,267,981000000,0.428547,-8.189852
30,268,81000000,0.530251,-8.180799
31,268,180000000,0.630235,-8.180288
32,268,280000000,0.730202,-8.178317
33,268,381000000,0.810398,-8.184075
34,268,481000000,0.920395,-8.183907
35,268,581000000,1.020383,-8.184191
36,268,681000000,1.119387,-8.177532
37,268,781000000,1.219338,-8.174763
38,268,881000000,1.319246,-8.170764
39,268,981000000,1.401962,-8.167334
40,269,81000000,1.501849,-8.162799
41,269,181000000,1.601725,-8.157962
42,269,281000000,1.687012,-8.159496
43,269,381000000,1.786861,-8.153917
44,269,481000000,1.886606,-8.146695
45,269,581000000,1.979505,-8.126436
46,269,681000000,2.078823,-8.114717
47,269,781000000,2.178094,-8.102603
48,269,881000000,2.286627,-8.087429
49,269,981000000,2.385841,-8.074677
50,270,81000000,2.484708,-8.059481
51,270,181000000,2.575875,-8.044582
52,270,281000000,2.673999,-8.024977
53,270,381000000,2.771878,-8.003853
54,270,481000000,2.857407,-7.983195
55,270,581000000,2.927782,-7.959793
56,270,681000000,3.017776,-7.926582
57,270,781000000,3.129583,-7.881130
58,270,881000000,3.219297,-7.834810
59,270,981000000,3.305390,-7.785358
60,271,80000000,3.400135,-7.733367
61,271,181000000,3.482428,-7.675698
62,271,281000000,3.562668,-7.614703
63,271,381000000,3.626343,-7.559826
64,271,481000000,3.676277,-7.509993
65,271,581000000,3.737888,-7.438945
66,271,680000000,3.800627,-7.364854
67,271,780000000,3.867045,-7.288601
68,271,881000000,3.927851,-7.208871
69,271,981000000,3.984546,-7.125346
70,272,81000000,4.029754,-7.039492
71,272,181000000,4.080001,-6.951231
72,272,281000000,4.122624,-6.859151
73,272,381000000,4.162365,-6.765885
74,272,481000000,4.201877,-6.676256
75,272,581000000,4.237708,-6.581719
76,272,681000000,4.270413,-6.486211
77,272,780000000,4.301037,-6.390122
78,272,881000000,4.312139,-6.280326
79,272,980000000,4.334753,-6.182320
80,273,81000000,4.354737,-6.083861
81,273,181000000,4.368412,-5.987174
82,273,281000000,4.385906,-5.888407
83,273,381000000,4.402848,-5.789581
84,273,481000000,4.414737,-5.682615
85,273,581000000,4.427557,-5.583250
86,273,681000000,4.436904,-5.483545
87,273,781000000,4.438901,-5.369282
88,273,881000000,4.442609,-5.269252
89,273,981000000,4.446503,-5.169214
90,274,80000000,4.454214,-5.068609
91,274,181000000,4.450769,-4.994999
92,274,281000000,4.445068,-4.899004
93,274,381000000,4.440708,-4.823720
94,274,481000000,4.427548,-4.756319
95,274,581000000,4.411873,-4.690973
96,274,681000000,4.398812,-4.628005
97,274,781000000,4.376573,-4.565390
98,274,880000000,4.349782,-4.504390
99,274,981000000,4.321244,-4.449057
100,275,81000000,4.275956,-4.366849
101,275,181000000,4.234430,-4.307766
