obstacle_id,x,y,z,roll,pitch,yaw
0,5.50366,4.62223,0.149035,0.000002,-0.000002,0
1,-1.85721,8.74316,0.149035,0.000002,-0.000002,0
2,-5.97868,0.848149,0.149035,0.000002,-0.000002,0
3,-1.2218,-7.5166,0.149035,0.000002,-0.000002,0
4,-1.79096,-0.381062,0.149035,0.000002,-0.000002,0
5,-3.44624,5.149,0.149035,0.000002,-0.000002,0
6,5.64806,-1.12521,0.149035,0.000002,-0.000002,0
7,5.60142,-5.92147,0.149035,0.000002,-0.000002,0
